Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"3,52930394689292E-18","4,62395285906123E-18","0,0015",0,0,0,"0,468","0,000390351","4,22838847269347E-20","2,75285707857648E-21","0,001560351","-1,37642853928824E-21","0,00195",0,0,0,0,0,0,package://abot_urdf/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://abot_urdf/meshes/base_link.STL,,abot_base-1,CS_BASE <abot_base-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
abot_right_wheel,"3,46944695195361E-18","0,0125","-6,93889390390723E-18",0,0,0,"0,647069911869073","0,000204568456512775","1,27775670669039E-21","-6,7762635780344E-21","0,000341733797205854","5,11755138982384E-22","0,000204568456512775",0,0,0,0,0,0,package://abot_urdf/meshes/abot_right_wheel.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://abot_urdf/meshes/abot_right_wheel.STL,,abot_right_wheel-1,CS_RIGHT_WHEEL <abot_right_wheel-1>,AXIS_RIGHT_WHEEL <abot_right_wheel-1>,right_wheel_to_base,continuous,"0,04","-0,075","0,00300000000000001",0,"-1,18984983203427",0,base_link,0,1,0,,,,,,,,,,,,
abot_left_wheel,"3,46944695195361E-18","0,0125",0,0,0,0,"0,647069911869073","0,000204568456512775","-2,23413781352312E-21","6,7762635780344E-21","0,000341733797205854","-1,60836883992906E-21","0,000204568456512775",0,0,0,0,0,0,package://abot_urdf/meshes/abot_left_wheel.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://abot_urdf/meshes/abot_left_wheel.STL,,abot_left_wheel-1,CS_LEFT_WHEEL <abot_left_wheel-1>,AXIS_LEFT_WHEEL <abot_left_wheel-1>,left_wheel_to_base,continuous,"0,04","0,05","0,00299999999999998",0,"-0,946835294948567",0,base_link,0,1,0,,,,,,,,,,,,
abot_lidar,"-0,00405572587504531","-1,00899709035313E-18","0,0256114517500906",0,0,0,"2,61917781597221","0,00168198342889722","1,2058020378595E-20","0,000232514764416348","0,00261041581110539","-2,56645228638893E-20","0,00289840915984011",0,0,0,0,0,0,package://abot_urdf/meshes/abot_lidar.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://abot_urdf/meshes/abot_lidar.STL,,abot_lidar-1,CS_LIDAR <abot_lidar-1>,Axis_lidar_to_base,lidar_to_base,continuous,0,0,"0,003",0,0,0,base_link,0,0,1,,,,,,,,,,,,
